PUNTO,ORDEN,FAMILIA,ABUNDANCIA,,,,,,
T1P72,Lepidoptera,Palaephatidae,1,,,,,,
T1P72,Dermaptera,Labiidae,1,,,,1568,,
T1P72,Diptera,Cecidomyiidae,1,,,,,,
T1P72,Hymenoptera,Formicidae,1,,,,40,,
T1P72,Diptera,Diptera_ND,2,,,,,,
T1P72,Diptera,Sciaridae,1,,,,,,
T1A72,Diptera,Chironomidae,4,,,,,,
T1A72,Diptera,Dolichopodidae,13,,,,,,
T1A72,Lepidoptera,Pyralidae,1,,,,,1547,
T1A72,Diptera,Phoridae,14,,,10,,,
T1A72,Hemiptera,Aphididae,3,,,,,,
T1A48,Lepidoptera,Lepidoptera_ND,1,,,,,,
T1A48,Diptera,Diptera_ND,45,,,,,,
T1A48,Hymenoptera,Formicidae,3,,,,,,
T2P72,Diptera,Culicidae,1,,,,,,
T2P72,Hymenoptera,Formicidae,2,,,Chrironomidae,33,0.1601941748,
T2P72,Diptera,Lygistorhinidae,2,,,Formicidae,23,0.1116504854,
T2P72,Hemiptera,Aphididae,1,,,total Totoral,206,,
T2P72,Diptera,Diptera_ND,1,,,,,,
J2A72,Orthoptera,Gryllidae,1,,,,,,
J2A72,Hymenoptera,Formicidae,4,,,,,,
J2A72,Psocoptera,Psoquilidae,1,,,,,,
J2A72,Diptera,Diptera_ND,4,,,,,,
G3A72,Diptera,Diptera_ND,1,,,,,,
T2A24,Lepidoptera,Pyralidae,,,,,,,
T2A24,Diptera,Hybotidae,3,,,,,,
T2A24,Orthoptera,Gryllidae,1,,,,,,
T3P72,Hymenoptera,Formicidae,11,,,,,,
T3P72,Hymenoptera,Diapriidae,1,,,,,,
T3P72,Diptera,Psychodidae,2,,,,,,
T3A72,Hymenoptera,Formicidae,2,,,,,,
T3A72,Hymenoptera,Aphididae,2,,,,,,
T3A72,Hymenoptera,Diapriidae,1,,,,,,
T3A72,Diptera,Dolichopodidae,2,,,,,,
G1P24,Coleoptera,Cerambycidae,1,,,,,,
G1P24,Coleoptera,Chrysomelidae,3,,,,,,
G1A24,Diptera,Asilidae,1,,,,,,
G1A24,Coleoptera,Scarabaeidae,1,,,,,,
G1A24,Diptera,Fannidae,1,,,,,,
G1A24,Diptera,Chironomidae,1,,,,,,
G1A48,Hemiptera,Cicadellidae,1,,,,,,
G1A48,Diptera,Chironomidae,2,,,,,,
G1A48,Lepidoptera,Tineidae,1,,,,,,
G1A48,Psocoptera,Ectopsocidae,1,,,,,,
G1P48,Lepidoptera,Tineidae,1,,,,,,
G1P48,Psocoptera,Ectopsocidae,2,,,,,,
G1P48,Hymenoptera,Formicidae,1,,,,,,
G1A72,Hymenoptera,Brachonidae,1,,,,,,
G1A72,Psocoptera,Ectopsocidae,1,,,,,,
G1P72,Hymenoptera,Pompyllidae,1,,,,,,
G1P72,Coleoptera,Cerambycidae,1,,,,,,
G1P72,Hymenoptera,Formicidae,6,,,,,,
G1P72,Coleoptera,Crysomellidae,2,,,,,,
G2P48,Hymenoptera,Brachonidae,1,,,,,,
G2P48,Diptera,Muscidae,1,,,,,,
G2P48,Hemiptera,Cicadellidae,6,,,,,,
G2P48,Coleoptera,Carabidae,1,,,,,,
G2P48,Diptera,Culicidae,1,,,,,,
G2P48,Psocoptera,Ectopsocidae,2,,,,,,
G2P48,Diptera,Sciaridae,7,,,,,,
G2P48,Diptera,Dolichopodidae,1,,,,,,
J1A24,Diptera,Dolichopodidae,2,,,,,,
J1A24,Hymenoptera,Brachonidae,1,,,,,,
J1A24,Diptera,Scatopsidae,2,,,,,,
T1A24,Hymenoptera,Formicidae,1,,,,,,
T1A24,Diptera,Chironomidae,29,,,,,,
T1A24,Diptera,Dolichopodidae,3,,,,,,
T1A24,Diptera,Scatopsidae,4,,,,,,
T1A24,Hymenoptera,Diapriidae,1,,,,,,
J2A24,Diptera,Muscidae,1,,,,,,
G3A24,Orthoptera,Gryllidae,1,,,,,,
G3A24,Coleoptera,Elateridae,1,,,,,,
G3A24,Diptera,Dolichopodidae,5,,,,,,
G3A24,Diptera,Scatopsidae,9,,,,,,
G3A24,Diptera,Cecidomyiidae,1,,,,,,
G3A24,Diptera,Sciaridae,1,,,,,,
G3A24,Coleoptera,Latridiidae,1,,,,,,
G3A24,Coleoptera,Chrysomellidae,4,,,,,,
G3A24,Hemiptera,Cicadellidae,3,,,,,,
T2P24,Ortoptera,Gryllidae,1,,,,,,
T2P24,Diptera,Phoridae,2,,,,,,
T2P24,Lepidoptera,Geometridae,1,,,,,,
J1P72,Hymenoptera,Formicidae,2,,,,,,
J1P72,Coleoptera,Chrysomellidae,1,,,,,,
J1P72,Diptera,Phoridae,3,,,,,Err:509,
J1P72,Diptera,Cecidomyiidae,2,,,,,,
J1P72,Diptera,Ceratopogonidae,5,,,,,,
J1P72,Psocoptera,Ectopsocidae,2,,,,,,
J1P72,Hemiptera,Aphididae,1,,,,,,
J2P24,Orthoptera,Gryllidae,3,,,,,,
J2P24,Hymenoptera,Formicidae,30,,,,,,
J2P24,Coleoptera,Coccinellidae,1,,,,,,
J2P24,Coleoptera,Chrysomellidae,5,,,,,,
J2P24,Blattodea,Blattidae,1,,,,,,
J2P24,Lepidoptera,Lepidoptera_ND,1,,,,,,
J1P48,Hymenoptera,Formicidae,2,,,,,,
J1P48,Hemiptera,Cicadellidae,1,,,,,,
J1P48,Diptera,Drosophillidae,1,,,,,,
J2A48,Hymenoptera,Formicidae,9,,,,,,
J2A48,Diptera,Syrphidae,1,,,,,,
J2A48,Hymenoptera,Apidae,1,,,,,,
J2A48,Diptera,Scatopsidae,2,,,,,,
J2A48,Hymenoptera,Pteromalidae,1,,,,,,
J2A48,Hymenoptera,Eulophidae,1,,,,,,
J2A48,Diptera,Ephydridae,1,,,,,,
J2A48,Hymenoptera,Aphelinidae,1,,,,,,
J2A48,Diptera,Chironomidae,2,,,,,,
G3A48,Hymenoptera,Formicidae,1,,,,,,
G2A24,Hemiptera,Cicadellidae,3,,,,,,
G2A24,Diptera,Dolichopodidae,2,,,,,,
G2A24,Coleoptera,Elateridae,1,,,,,,
G2A24,Diptera,Cecidomyiidae,1,,,,,,
J1A72,Lepidoptera,Hesperiidae,1,,,,,,
J1A72,Diptera,Dolichopodidae,10,,,,,,
J1A72,Diptera,Scatopsidae,6,,,,,,
J2P48,Orthoptera,Gryllidae,2,,,,,,
J2P48,Coleoptera,Chrysomelidae,14,,,,,,
J2P48,Coleoptera,Carabidae,1,,,,,,
J2P48,Hymenoptera,Formicidae,327,,,,,,
J3A24,Hymenoptera,Formicidae,6,,,,,,
J3A24,Diptera,Dolichopodidae,5,,,,,,
J3A24,Hymenoptera,Diapriidae,1,,,,,,
J3A24,Lepidoptera,Lepidoptera_ND,1,,,,,,
T2P48,Hymenoptera,Formicidae,2,,,,,,
T2P48,Lepidoptera,Gelechiidae,1,,,,,,
T2P48,Blattodea,Blatiidae,1,,,,,,
T2P48,Coleoptera,Scarabaeidae,1,,,,,,
T2P48,Diptera,Cecidomyiidae,1,,,,,,
T1P24,Diptera,Ceratopogonidae,2,,,,,,
T1P24,Diptera,Diptera_ND,1,,,,,,
T1P24,Diptera,Diptera_ND,1,,,,,,
T1P24,Hymenoptera,Diapriidae,1,,,,,,
T1P24,Diptera,Cecidomyiidae,8,,,,,0.9246861925,
J3A48,Diptera,Diptera_ND,1,,,,,,
J3A48,Diptera,Cecidomyiidae,1,,,,,,
J3A72,Hymenoptera,Formicidae,28,,,,,,
J3A72,Diptera,Scatopsidae,1,,,,,13,10
G3P24,Blattodea,Blattidae,1,,,,,,
G3P24,Orthoptera,Gryllidae,3,,,,,113,
T3P48,Diptera,Diptera_ND,1,,,,,,
T3P48,Diptera,Diptera_ND,1,,,,,0.1150442478,0.08849557522
J2P72,Hymenoptera,Pompilidae,1,,,,,,
J2P72,Orthoptera,Gryllidae,1,,,,,,
J2P72,Blattodea,Blatiidae,1,,,,,,
J2P72,Hymenoptera,Formicidae,1134,,,,,,
J2P72,Coleoptera,Chrysomelidae,4,,,,,,
J3P72,Orthoptera,Gryllidae,1,,,,,,
J3P72,Diptera,Dolichopodidae,1,,,,,,
J3P72,Diptera,Scatopsidae,1,,,,,,
J1A28,Diptera,Dolichopodidae,1,,,,,,
J1A28,Diptera,Scatopsidae,8,,,,,,
J1A28,Diptera,Chironomidae,2,,,,,,
G2P72,Coleoptera,Elateridae,2,,,,,,
G2P72,Coleoptera,Carabidae,1,,,,,,
G2P72,Hemiptera,Cicadellidae,1,,,,,,
G2P72,Coleoptera,Chrysomelidae,2,,,,,,
G2P72,Hymenoptera,Braconidae,1,,,,,,
G2P72,Diptera,Scatopsidae,1,,,,,,
T3A48,Hymenoptera,Sphaeroceridae,1,,,,,,
T3A48,Hymenoptera,Formicidae,3,,,,,,
T3A48,Diptera,Cecidomyiidae,1,,,,1673,,
T3A48,Diptera,Ceratopogonidae,1,,,,,,
T3A48,Hemiptera,Aphididae,4,,,,,,
T3A48,Diptera,Dolichopodidae,1,,,,,,
T3A48,Hymenoptera,Aphelinidae,1,,,,,,
J2A72,Diptera,Scatopsidae,3,,,,,,
J2A72,Diptera,Drosophilidae,1,,,,,,
J2A72,Hymenoptera,Formicidae,1,,,,,,
J2A72,Diptera,Cecidomyiidae,1,,,,,,
J2A72,Hemiptera,Aphididae,1,,,,,,
J1P24,Blattodea,Blatiidae,1,,,,,,
J1P24,Hymenoptera,Formicidae,2,,,,,,
J1P24,Coleoptera,Chrysomelidae,1,,,,,,
J1P24,Hymenoptera,Braconidae,1,,,,,,
J1P24,Hemiptera,Cicadellidae,1,,,,,,
G2P24,Orthoptera,Gryllidae,2,,,,,,
G2P24,Hemiptera,Cicadellidae,9,,,,,,
G2P24,Diptera,Dolichopodidae,1,,,,,,
G2P24,Hymenoptera,Braconidae,1,,,,,,
G2P24,Coleoptera,Chrysomelidae,1,,,,,,
G3P72,Coleoptera,Elateridae,1,,,,,,
G3P72,Coleoptera,Chrysomelidae,1,,,,,,
G3P72,Orthoptera,Gryllidae,1,,,,,,
J3P48,Diptera,Stratiomyidae,1,,,,,,
J3P48,Hymenoptera,Formicidae,1,,,,,,
J3P48,Hemiptera,Cicadellidae,1,,,,,,
T3P24,Hymenoptera,Formicidae,39,,,,,,
T3P24,Hemiptera,Aphididae,1,,,,,,
T2A48,Diptera,Sphaerocidae,4,,,,,,
T2A48,Diptera,Dolichopodidae,2,,,,,,
T2A48,Diptera,Phoridae,1,,,,,,
J3P48,Lepidoptera,Pyralidae,1,,,,,,
J3P48,Orthoptera,Gryllidae,2,,,,,,
